day,characterId,characterName,mode,actionpointOrder,dialogID,text,triggerOrder,pictureId,pictureId2,playerpicture,soundId
1,tutorial,,actionpoint,1,1_ap_1,Press space to start,0,0,,,
1,player,Me,actionpoint,1,1_ap_1,(After the final exams.),1,0,,,
1,player,Me,actionpoint,1,1_ap_1,(You get a report card.),2,0,,,
1,player,Me,actionpoint,1,1_ap_1,(Some people are affected by it.),3,0,,,
1,player,Me,actionpoint,1,1_ap_1,(They feel anxious or frustrated.),4,0,,,
1,player,Me,actionpoint,1,1_ap_1,(Some feel relieved.),5,0,,,
1,player,Me,actionpoint,1,1_ap_1,(But some people...),6,0,,,
1,tutorial,,actionpoint,1,1_ap_1,Press the right arrow key to turn your head,7,0,,,
1,tutorial,,actionpoint,2,1_ap_2,Press space to continue,1,0,,,
1,teacher,Julian,actionpoint,3,1_ap_3,hello everyone.,1,4,,,
1,teacher,Julian,actionpoint,3,1_ap_3,Welcome to Beyond English Summer Course.,2,4,,,
1,teacher,Julian,actionpoint,3,1_ap_3,I am your teacher Julian.,3,3,,,
1,teacher,Julian,actionpoint,3,1_ap_3,What is up Miss Minna?,4,3,,,
1,tutorial,,actionpoint,3,1_ap_3,Press left to see the window.,5,3,,,
1,tutorial,,actionpoint,4,1_ap_4,empty (you should not seen this text),0,0,,,
1,teacher,Julian,actionpoint,5,1_ap_5,Okay.,0,4,,,
1,teacher,Julian,actionpoint,5,1_ap_5,Thank you.,1,4,,,
1,teacher,Julian,actionpoint,5,1_ap_5,Let us continue.,2,3,,,
1,teacher,Julian,actionpoint,5,1_ap_5,Everyone knows the word July.,3,3,,,
1,player,Me,actionpoint,5,1_ap_5,(Add an an at the end.),4,1,,,
1,player,Me,actionpoint,5,1_ap_5,(In Latin this means belonging to July.),5,1,,,
1,player,Me,actionpoint,5,1_ap_5,(When I was studying abroad.),6,4,,,
1,player,Me,actionpoint,5,1_ap_5,(I stood on a beach over there.),7,4,,,
1,player,Me,actionpoint,5,1_ap_5,(I told myself this.),8,4,,,
1,player,Me,actionpoint,5,1_ap_5,(Julian.),9,4,,,
1,player,Me,actionpoint,5,1_ap_5,(You must be like the scorching sun of July.),10,4,,,
1,player,Me,actionpoint,5,1_ap_5,(Burn away all mediocrity and cowardice.),11,4,,,
1,teacher,Julian,actionpoint,6,1_ap_6,English is the easiest language in the world.,1,3,,,
1,teacher,Julian,actionpoint,6,1_ap_6,As long as you dare to shout it out.,2,3,,,
1,teacher,Julian,actionpoint,6,1_ap_6,You can overcome English.,3,3,,,
1,teacher,Julian,actionpoint,6,1_ap_6,You can overcome yourself.,4,3,,,
1,teacher,Julian,actionpoint,6,1_ap_6,Come on.,5,4,,,
1,teacher,Julian,actionpoint,6,1_ap_6,Follow me.,6,4,,,
1,teacher,Julian,actionpoint,6,1_ap_6,Beyond English.,7,4,,,
1,player,Me,actionpoint,6,1_ap_6,Beyond English.,8,4,,,
1,teacher,Julian,actionpoint,7,1_ap_7,Beyond Yourself!,1,4,,,
1,player,Me,actionpoint,7,1_ap_7,Beyond Yourself!,2,4,,,
1,teacher,Julian,actionpoint,8,1_ap_8,I cannot hear you!,1,2,,,
1,teacher,Julian,actionpoint,8,1_ap_8,Again!,2,2,,,
1,teacher,Julian,actionpoint,8,1_ap_8,Beyond English!,3,4,,,
1,player,Me,actionpoint,8,1_ap_8,Beyond English...,4,4,,,
1,player,Me,actionpoint,9,1_ap_9,Beyond Yourself!,1,4,,,
1,player,Me,actionpoint,9,1_ap_9,Beyond Yourself...,2,4,,,
1,player,Me,actionpoint,10,1_ap_10,(The students begin to speak timidly.),1,4,,,
1,player,Me,actionpoint,10,1_ap_10,(The teacher is still not satisfied.),2,4,,,
1,teacher,Julian,actionpoint,10,1_ap_10,(*),3,4,,,
1,teacher,Julian,actionpoint,10,1_ap_10,Beyond English!,4,4,,,
1,player,Me,actionpoint,10,1_ap_10,...,5,4,,,
1,teacher,Julian,actionpoint,10,1_ap_10,Beyond Yourself!,6,4,,,
1,player,Me,actionpoint,10,1_ap_10,...,7,4,,,
1,teacher,Julian,actionpoint,11,1_ap_11,Very good!,0,4,,,
1,teacher,Julian,actionpoint,11,1_ap_11,I am sure everyone can go beyond English.,1,4,,,
1,teacher,Julian,actionpoint,11,1_ap_11,You can do it by the end of summer.,2,4,,,
1,teacher,Julian,actionpoint,11,1_ap_11,Please bring your Go Beyond English textbook.,3,4,,,
1,teacher,Julian,actionpoint,11,1_ap_11,We will start the first lesson next time.,4,4,,,
1,tutorial,,actionpoint,11,1_ap_11,Feel free to explore in any of the four directions.,5,4,,,
1,tutorial,,actionpoint,11,1_ap_11,Do not forget to press the down arrow key.,6,4,,,
1,tutorial,,actionpoint,11,1_ap_11,Collect your textbooks.,7,4,,,
