day,characterId,characterName,mode,actionpointOrder,dialogID,sequenceOrder,triggerOrder,text,pictureId,playerpicture,soundId
1,tutorial,,actionpoint,1,1_ap_1,,0,Press space to start,0,,
1,player,Me,actionpoint,1,1_ap_1,,1,(After the final exams.),0,1,
1,player,Me,actionpoint,1,1_ap_1,,2,(You get a report card.),0,2,
1,player,Me,actionpoint,1,1_ap_1,,3,(Some people are affected by it.),0,3,
1,player,Me,actionpoint,1,1_ap_1,,4,(They feel anxious or frustrated.),0,4,
1,player,Me,actionpoint,1,1_ap_1,,5,(Some feel relieved.),0,5,
1,player,Me,actionpoint,1,1_ap_1,,6,(But some people...),0,1,
1,tutorial,,actionpoint,1,1_ap_1,,7,Press the right arrow key to turn your head,0,,
1,tutorial,,actionpoint,2,1_ap_2,,1,Press space to continue,0,,
1,teacher,Julian,actionpoint,3,1_ap_3,,1,hello everyone.,4,,
1,teacher,Julian,actionpoint,3,1_ap_3,,2,Welcome to Beyond English Summer Course.,4,,
1,teacher,Julian,actionpoint,3,1_ap_3,,3,I am your teacher Julian.,3,,
1,teacher,Julian,actionpoint,3,1_ap_3,,4,What is up Miss Minna?,3,,
1,tutorial,,actionpoint,3,1_ap_3,,5,Press left to see the window.,3,,
1,tutorial,,actionpoint,4,1_ap_4,,0,Press space to continue,3,,
1,teacher,Julian,actionpoint,5,1_ap_5,,0,Okay.,4,,
1,teacher,Julian,actionpoint,5,1_ap_5,,1,Thank you.,4,,
1,teacher,Julian,actionpoint,5,1_ap_5,,2,Let us continue.,3,,
1,teacher,Julian,actionpoint,6,1_ap_6,,0,English is the easiest language in the world.,3,,
1,teacher,Julian,actionpoint,6,1_ap_6,,1,As long as you dare to shout it out.,3,,
1,teacher,Julian,actionpoint,6,1_ap_6,,2,You can overcome English.,3,,
1,teacher,Julian,actionpoint,6,1_ap_6,,3,You can overcome yourself.,3,,
1,teacher,Julian,actionpoint,6,1_ap_6,,4,Come on.,4,,
1,teacher,Julian,actionpoint,6,1_ap_6,,5,Follow me.,4,,
1,teacher,Julian,actionpoint,6,1_ap_6,,6,Beyond English.,4,,
1,player,Me,actionpoint,6,1_ap_6,,7,Beyond English.,4,,
1,teacher,Julian,actionpoint,6,1_ap_6,,8,Beyond Yourself!,4,,
1,player,Me,actionpoint,6,1_ap_6,,9,Beyond Yourself!,4,,
1,teacher,Julian,actionpoint,6,1_ap_6,,10,Again!,2,,
1,teacher,Julian,actionpoint,6,1_ap_6,,11,Beyond English!,4,,
1,player,Me,actionpoint,6,1_ap_6,,12,Beyond English...,4,,
1,teacher,Julian,actionpoint,6,1_ap_6,,13,"Come on, I can't hear you!",4,,
1,player,Me,actionpoint,6,1_ap_6,,14,Beyond Yourself!,4,,
1,player,Me,actionpoint,6,1_ap_6,,15,Beyond Yourself...,4,,
1,teacher,Julian,actionpoint,6,1_ap_6,,16,Very good!,4,,
1,teacher,Julian,actionpoint,7,1_ap_7,,1,I am sure everyone can go beyond English.by the end of summer.,4,,
1,teacher,Julian,actionpoint,7,1_ap_7,,2,Please take a look at your Go Beyond English textbook.,4,,
1,teacher,Julian,actionpoint,7,1_ap_7,,3,"Lesson One, The White Night.",4,,
1,teacher,Julian,actionpoint,7,1_ap_7,,4,Please take a look at the text.,4,,
1,tutorial,,actionpoint,7,1_ap_7,,5,Press the down arrow key to lower your head and look at the text.,3,,
1,tutorial,,actionpoint,7,1_ap_7,,6,Click on the textbook to select the answer.,3,,
1,teacher,Julian,actionpoint,8,1_ap_8,,1,Read the text carefully. I will ask a question in a moment.,4,,
1,tutorial,,actionpoint,8,1_ap_8,,2,Click on the textbook to select the answer.,3,,
1,teacher,Julian,actionpoint,9,1_ap_9,,1,There are no words on my face. Time to look at the textbook.,4,,
1,tutorial,,actionpoint,9,1_ap_9,,2,Click on the textbook to select the answer.,3,,
1,teacher,Julian,actionpoint,10,1_ap_10,,0,All right. Everyone should have finished skimming it.,4,,
1,teacher,Julian,actionpoint,10,1_ap_10,,1,Why couldn't the Italian tourist sleep?,4,,
1,teacher,Julian,actionpoint,10,1_ap_10,,2,Cici? Please answer this.,4,,
1,player,Me,actionpoint,10,1_ap_10,,3,(Silence. Cici is zoning out.),3,1,
1,teacher,Julian,actionpoint,11,1_ap_11,,0,All right. Let us ask someone else.,4,,
1,teacher,Julian,actionpoint,11,1_ap_11,,1,"You there, Wen. What do you make of this?",4,,
1,player,Me,actionpoint,11,1_ap_11,,2,Because he forgot to close the curtains.,3,1,
1,teacher,Julian,actionpoint,12,1_ap_12,,0,Exactly. Evidence.,4,,
1,teacher,Julian,actionpoint,12,1_ap_12,,1,Class is over. Review Lesson One.,4,,
1,teacher,Julian,actionpoint,12,1_ap_12,,2,"Next time, remember to bring your Go Beyond English textbook.",4,,
2,teacher,Julian,actionpoint,1,2_ap_1,,1,"Good afternoon, everyone.",4,,
2,teacher,Julian,actionpoint,1,2_ap_1,,2,Did everyone finish the homework? I will ask questions in a moment.,4,,
