day,characterId,characterName,mode,actionpointOrder,dialogID,sequenceOrder,triggerOrder,text,pictureId,playerpicture,soundId
0,player,Me,random,,0_ra_1,,0,(When will this class ever end?),1,,
0,player,Me,random,,0_ra_2,,0,"(A lost bee is bumping against the windowpane, and some students are distracted by it.)",1,,
0,player,Me,random,,0_ra_3,,0,(A bird flashes through the shade of the trees outside. The sun is beginning to set.),1,,
0,player,Me,random,,0_ra_4,,0,"(What if gravity was reversed? We would be standing on the ceiling, having class while sitting on the rafters.)",1,,
0,player,Me,random,,0_ra_5,,0,(Outside the window),1,,
0,player,Me,random,,0_ra_5,,1,"(The summer light is so dense it almost seems solid. The classroom is still cool, hiding behind the walls, but everything exposed to the sun is so dazzling you have to close your eyes.)",1,,
0,player,Me,random,,0_ra_6,,0,"(They say summer is the best season, and childhood is the best time of life.)",1,,
0,player,Me,random,,0_ra_6,,1,"(Yes, I agree completely. I can already see myself as a frail old person in the winter of my life, lost in thought, wishing a million times I could come back to this very moment.)",1,,
0,player,Me,random,,0_ra_6,,2,"(But right now, on this day when the sun is at its most fierce, what should we do, so as not to have wasted our time?)",1,,
0,player,Me,random,,0_ra_7,,0,"(The Tyndall effect appears in the gap of the curtains. Dust motes, usually invisible, dance in the column of light.)",1,,
0,player,Me,random,,0_ra_8,,0,(The teacher's voice is gradually fading.),1,,
0,player,Me,random,,0_ra_9,,0,"(I wish Y-City had white nights. Here, people have to go home by 8 PM, be in bed by 10 PM, and by 11 PM the streets are empty except for lonely wandering souls.)",1,,
0,player,Me,random,,0_ra_10,,0,(The hallway is full of the sound of another class being dismissed. Just hearing it makes my legs want to move.),1,,
0,player,Me,random,,0_ra_11,,0,"(During reading comprehension, teachers love telling us to go back and find evidence.)",1,,
0,player,Me,random,,0_ra_11,,1,"(But when I look back and discover that the clues were already there, I am always startled.)",1,,
0,player,Me,random,,0_ra_12,,0,(The shadows of the trees outside the window sway for a moment.),1,,
0,player,Me,random,,0_ra_13,,0,"(Y-City in the afternoon is bright to the point of whiteness, the buildings as if copied once by the sun.)",1,,
0,player,Me,random,,0_ra_13,,1,(A copy is always a little paler than the original.),1,,
0,player,Me,random,,0_ra_14,,0,This course is still very expensive. One class costs several hundred.,1,,
0,player,Me,random,,0_ra_14,,1,That must be a full day's wages for my parents.,1,,
0,player,Me,random,,0_ra_15,,0,The air conditioner makes a sound that is working very hard but has no dignity.,1,,
0,player,Me,random,,0_ra_16,,0,((Past perfect tense.)),1,,
0,player,Me,random,,0_ra_16,,1,(Had done.),1,,
0,player,Me,random,,0_ra_16,,2,(English actually allows something to happen in the past of the past.),1,,
1,minna,Minna,actionpoint,4,1_ap_4,,0,The textbooks have arrived; I'll bring them over later.,1,,
1,tutorial,,actionpoint,4,1_ap_4,,1,Press the up key to look at the blackboard.,1,,
1,player,Me,random,,1_ra_9,,0,"(Today, while Julian was talking her ear off, Minna just kept a polite smile. Her eyes were actually on the water cooler at the end of the hallway.)",1,,
